1973,"13303","255848","111336","144512"
1974,"13504","243658","110179","133479"
1975,"13722","239794","114501","125293"
1976,"13892","231135","110610","120525"
1977,"14033","226954","111490","115464"
1978,"14192","226359","108059","118300"
1979,"14359","223370","108315","115055"
1980,"14515","223664","106654","117010"
1981,"14695","230920","109429","121491"
1982,"14923","237076","110990","116086"
1983,"15184","241764","112918","128846"
1984,"15393","240544","110887","129657"
1985,"15579","241814","114197","127617"
1986,"15788","239115","116069","123046"
1987,"16018","242977","116139","126838"
1988,"16263","246200","120463","125737"
1989,"16532","250155","118767","131388"
1990,"16814","257521","125112","132409"
1991,"17065","261158","119572","141586"
1992,"17284","259186","120836","138350"
1993,"17494","259959","121338","138621"
1994,"17667","258314","123496","134818"
1995,"17854","258210","126232","131978"
1996,"18071","250438","126400","124038"
1997,"18310","253660","127298","126362"
1998,"18517","249105","129255","119850"
1999,"18711","249965","128278","121487"
2000,"18925","249310","128392","120918"
2001,"19153","247500","128913","118587"
2002,"19413","247288","130253","117035"
2003,"19651","246663","132239","114424"
2004,"19895","249082","133231","115851"
2005,"20127","255934","131354","124580"
2006,"20394","263540","134041","129499"
2007,"20697","274330","134785","139545"
2008,"21015","296620","138221","142442"
2009,"21262","295700","140800","154900"
2010,"22183","297900","143500","154400"
2011,"22485","301617","146500","154300"
2012,"22822","304611","149221","156770"
